Reinoud Maex,"Three Review Articles on the Cerebellum","20181005-three-review-articles-on-the-cerebellum.rst",0,0,0,0,1
Yi Sun,"Asynchronism-based principal component analysis for time series data mining","20181010-asynchronism-based-principal-component-analysis-for-time-series-data-mining.rst",0,0,0,0,1
Mohammad Tayarani-Najaran,"Maximum Satisfiability: Anatomy of the Fitness Landscape for a Hard Combinatorial Optimization Problem","20181019-maximum-satisfiability-anatomy-of-the-fitness-landscape-for-a-hard-combinatorial-optimization-problem.rst",0,0,0,0,1
Mohammad Tayarani-Najaran,"Maximum Satisfiability: Anatomy of the Fitness Landscape for a Hard Combinatorial Optimization Problem -- Continued","20181019-maximum-satisfiability-anatomy-of-the-fitness-landscape-for-a-hard-combinatorial-optimization-problem.rst",0,0,0,0,1
---,,,0,0,0,0,1
Ohki Katakura,"Computational Model of the Cerebellum and the Basal Ganglia for Interval Timing Learning","20181105-computational-model-of-the-cerebellum-and-the-basal-ganglia-for-interval-timing-learning.rst",0,0,0,0,1
Edward Wakelam,,,0,0,0,0,1
Ronak Bhavsar,,,0,0,0,0,1
Alex May and Anna Dumitriu,"Biocomputation Robots and ArchaeaBot Project","20181031-biocomputation-robots-and-archaeabot-project.rst",0,0,0,0,1
Na Helian,,,0,0,0,0,1
Weam Binjumah,,,0,0,0,0,1
Rene te Boekhorst,,,0,0,0,0,1
Deepak Panday,,,0,0,0,0,1
Julia Goncharenko,,,0,0,0,0,1
Anuradha Sulane,,,0,0,0,0,1
Sam Sutton,,,0,0,0,0,1
Volker Steuber,,,0,0,0,0,1
Ankur Sinha,,,0,0,0,0,1
Damien Drix,,,0,0,0,0,1
Marco Craveiro,,,0,0,0,0,1
Shabnam Kadir,,,0,0,0,0,1
Rebecca Miko,,,0,0,0,0,1
Neil Davey,,,0,0,0,0,1
